timestamp,status,question_id,phase,order_no,line_no,generator,success,question,drug_name,error,resolved_drug_name,routed_doc_type,routed_sections,hit_count,retrieval_seconds,generation_seconds,total_seconds,estimated_context_chars,estimated_context_tokens,estimated_prompt_chars,estimated_prompt_tokens,estimated_answer_chars,estimated_answer_tokens,command
2026-03-29T18:56:09,queued,2a28989f64655840,non_ollama,1,17,none,,Các cảnh báo chính và chống chỉ định là gì?,Onglyza,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA_v1_vi\\pmda_fs_index_vi"" ""C\u00e1c c\u1ea3nh b\u00e1o ch\u00ednh v\u00e0 ch\u1ed1ng ch\u1ec9 \u0111\u1ecbnh l\u00e0 g\u00ec?"" --drug-name ""Onglyza"""
2026-03-29T18:56:09,queued,cd14a2ec03f6d8b2,non_ollama,2,26,none,,Các chống chỉ định là gì?,Onglyza,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA_v1_vi\\pmda_fs_index_vi"" ""C\u00e1c ch\u1ed1ng ch\u1ec9 \u0111\u1ecbnh l\u00e0 g\u00ec?"" --drug-name ""Onglyza"""
2026-03-29T18:56:09,queued,593e9f6274e57a9a,non_ollama,3,27,none,,Các chỉ định đã được phê duyệt và hướng dẫn liều dùng là gì?,Onglyza,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA_v1_vi\\pmda_fs_index_vi"" ""C\u00e1c ch\u1ec9 \u0111\u1ecbnh \u0111\u00e3 \u0111\u01b0\u1ee3c ph\u00ea duy\u1ec7t v\u00e0 h\u01b0\u1edbng d\u1eabn li\u1ec1u d\u00f9ng l\u00e0 g\u00ec?"" --drug-name ""Onglyza"""
2026-03-29T18:56:09,queued,661320bffa5bc860,non_ollama,4,28,none,,Các thận trọng quan trọng trước khi dùng thuốc này là gì?,Onglyza,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA_v1_vi\\pmda_fs_index_vi"" ""C\u00e1c th\u1eadn tr\u1ecdng quan tr\u1ecdng tr\u01b0\u1edbc khi d\u00f9ng thu\u1ed1c n\u00e0y l\u00e0 g\u00ec?"" --drug-name ""Onglyza"""
2026-03-29T18:56:09,queued,67d0ef1380e59fc4,non_ollama,5,29,none,,"Trước khi dùng thuốc này, bệnh nhân cần lưu ý điều gì?",Onglyza,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA_v1_vi\\pmda_fs_index_vi"" ""Tr\u01b0\u1edbc khi d\u00f9ng thu\u1ed1c n\u00e0y, b\u1ec7nh nh\u00e2n c\u1ea7n l\u01b0u \u00fd \u0111i\u1ec1u g\u00ec?"" --drug-name ""Onglyza"""
2026-03-29T18:56:09,queued,aa5a6e7e6ecd4e77,non_ollama,6,30,none,,Những đối tượng nào không nên dùng thuốc này?,Onglyza,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA_v1_vi\\pmda_fs_index_vi"" ""Nh\u1eefng \u0111\u1ed1i t\u01b0\u1ee3ng n\u00e0o kh\u00f4ng n\u00ean d\u00f9ng thu\u1ed1c n\u00e0y?"" --drug-name ""Onglyza"""
2026-03-29T18:56:09,queued,8470d29e302d82fc,non_ollama,7,31,none,,Bệnh nhân nên tránh những gì khi đang dùng thuốc này?,Onglyza,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA_v1_vi\\pmda_fs_index_vi"" ""B\u1ec7nh nh\u00e2n n\u00ean tr\u00e1nh nh\u1eefng g\u00ec khi \u0111ang d\u00f9ng thu\u1ed1c n\u00e0y?"" --drug-name ""Onglyza"""
2026-03-29T18:56:09,queued,193d74bebb1a3a42,non_ollama,8,32,none,,Các phản ứng có hại chính và biến cố bất lợi nghiêm trọng là gì?,Onglyza,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA_v1_vi\\pmda_fs_index_vi"" ""C\u00e1c ph\u1ea3n \u1ee9ng c\u00f3 h\u1ea1i ch\u00ednh v\u00e0 bi\u1ebfn c\u1ed1 b\u1ea5t l\u1ee3i nghi\u00eam tr\u1ecdng l\u00e0 g\u00ec?"" --drug-name ""Onglyza"""
2026-03-29T18:56:09,queued,710444789e6f7761,non_ollama,9,33,none,,"Có thận trọng nào cho bệnh nhi, người cao tuổi, phụ nữ mang thai hoặc cho con bú không?",Onglyza,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA_v1_vi\\pmda_fs_index_vi"" ""C\u00f3 th\u1eadn tr\u1ecdng n\u00e0o cho b\u1ec7nh nhi, ng\u01b0\u1eddi cao tu\u1ed5i, ph\u1ee5 n\u1eef mang thai ho\u1eb7c cho con b\u00fa kh\u00f4ng?"" --drug-name ""Onglyza"""
2026-03-29T18:56:09,queued,e5a4eb515f62b0f7,non_ollama,10,34,none,,"Hiển thị các trang nói về cảnh báo, chống chỉ định và thận trọng.",Onglyza,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA_v1_vi\\pmda_fs_index_vi"" ""Hi\u1ec3n th\u1ecb c\u00e1c trang n\u00f3i v\u1ec1 c\u1ea3nh b\u00e1o, ch\u1ed1ng ch\u1ec9 \u0111\u1ecbnh v\u00e0 th\u1eadn tr\u1ecdng."" --drug-name ""Onglyza"" --json"
